Geography,Year,Total_Est,Total_EstErr,HispanicLatino_Est,HispanicLatino_EstErr,HispanicLatino_Pct,HispanicLatino_PctErr,WhiteAlone_Est,WhiteAlone_EstErr,WhiteAlone_Pct,WhiteAlone_PctErr,BlackAlone_Est,BlackAlone_EstErr,BlackAlone_Pct,BlackAlone_PctErr,IndianAlaskaAlone_Est,IndianAlaskaAlone_EstErr,IndianAlaskaAlone_Pct,IndianAlaskaAlone_PctErr,AsianAlone_Est,AsianAlone_EstErr,AsianAlone_Pct,AsianAlone_PctErr,HawaiianPacificAlone_Est,HawaiianPacific_EstErr,HawaiianPacific_Pct,HawaiianPacific_PctErr,MedianHouseholdIncome_Est,MedianHouseholdIncome_EstErr,MeanHouseholdIncome_Est,MeanHouseholdIncome_EstErr,MedianFamilyIncome_Est,MedianFamilyIncome_EstErr,MeanFamilyIncome_Est,MeanFamilyIncome_EstErr,PercapitaIncome_Est,PercapitaIncome_EstErr,PovertyRate_Est,PovertyRate_EstErr,,
El Cajon city,"2,015 ","103,688 ",42 ,"31,542 ","4,547 ",30 ,4 ,"57,692 ","3,980 ",56 ,4 ,"5,406 ","1,843 ",5 ,2 ,168 ,183 ,0 ,0 ,"2,580 ",923 ,3 ,1 ,873 ,939 ,1 ,1 ,"49,227 ","5,415 ","60,726 ","3,458 ","54,990 ","8,080 ","67,078 ","5,141 ","20,251 ","1,461 ",21 ,4 ,,
Escondido city,"2,015 ","151,458 ",40 ,"73,793 ","5,761 ",49 ,4 ,"56,326 ","5,009 ",37 ,3 ,"3,735 ","1,813 ",3 ,1 ,260 ,240 ,0 ,0 ,"12,593 ","3,654 ",8 ,2 ,393 ,424 ,0 ,0 ,"54,284 ","4,129 ","75,387 ","4,221 ","60,513 ","5,728 ","82,634 ","5,985 ","24,261 ","1,505 ",16 ,3 ,,
Oceanside city,"2,015 ","175,714 ",86 ,"62,100 ","6,134 ",35 ,4 ,"80,823 ","7,051 ",46 ,4 ,"9,148 ","2,838 ",5 ,2 ,205 ,197 ,0 ,0 ,"14,377 ","4,652 ",8 ,3 ,"1,658 ","1,362 ",1 ,1 ,"60,720 ","3,282 ","75,993 ","4,396 ","72,068 ","4,928 ","85,480 ","6,587 ","28,968 ","1,897 ",14 ,3 ,,
San Diego city,"2,015 ","1,394,907 ",83 ,"425,414 ","11,551 ",31 ,1 ,"596,828 ","9,579 ",43 ,1 ,"89,678 ","6,050 ",6 ,0 ,"2,285 ",931 ,0 ,0 ,"221,127 ","7,233 ",16 ,1 ,"5,754 ","2,371 ",0 ,0 ,"67,871 ","1,873 ","92,192 ","2,037 ","78,520 ","2,782 ","106,989 ","2,765 ","34,733 ",748 ,16 ,1 ,,
San Marcos city,"2,015 ","92,934 ",35 ,"35,164 ","5,673 ",38 ,6 ,"41,222 ","5,464 ",44 ,6 ,"3,944 ","3,225 ",4 ,4 ,40 ,69 ,0 ,0 ,"9,475 ","3,161 ",10 ,3 ,811 ,889 ,1 ,1 ,"66,318 ","8,481 ","93,533 ","10,336 ","85,457 ","13,271 ","107,851 ","14,139 ","31,056 ","3,137 ",15 ,4 ,,
Vista city,"2,015 ","100,884 ",42 ,"49,524 ","5,179 ",49 ,5 ,"39,980 ","4,590 ",40 ,5 ,"4,238 ","2,324 ",4 ,2 ,0 ,201 ,0 ,0 ,"5,300 ","2,847 ",5 ,3 ,35 ,64 ,0 ,0 ,"67,421 ","9,397 ","78,122 ","5,986 ","71,716 ","7,991 ","81,037 ","5,662 ","23,625 ","1,944 ",19 ,5 ,,
San Diego County,"2,016 ","3,317,749 ",*****,"1,112,325 ",*****,34 ,*****,"1,523,776 ","1,004 ",46 ,0 ,"155,477 ","3,553 ",5 ,0 ,"13,231 ","2,072 ",0 ,0 ,"381,057 ","6,520 ",12 ,0 ,"12,918 ","2,085 ",0 ,0 ,"70,824 ",995 ,"96,692 ","1,397 ","81,222 ","1,355 ","108,721 ","1,989 ","34,328 ",492 ,12 ,1 ,,
Carlsbad city,"2,016 ","113,957 ",44 ,"11,638 ","2,551 ",10 ,2 ,"87,280 ","3,881 ",77 ,3 ,"1,407 ","1,198 ",1 ,1 ,70 ,92 ,0 ,0 ,"7,387 ","2,290 ",7 ,2 ,547 ,583 ,1 ,1 ,"113,217 ","10,242 ","149,293 ","10,656 ","141,282 ","14,633 ","171,861 ","13,736 ","56,006 ","4,048 ",5 ,2 ,,
Chula Vista city,"2,016 ","267,169 ",40 ,"159,153 ","9,043 ",60 ,3 ,"50,428 ","5,556 ",19 ,2 ,"7,117 ","1,863 ",3 ,1 ,81 ,91 ,0 ,0 ,"38,855 ","6,296 ",15 ,2 ,"1,632 ","1,466 ",1 ,1 ,"68,699 ","6,166 ","84,862 ","4,731 ","75,908 ","3,702 ","92,449 ","5,951 ","27,103 ","1,564 ",11 ,2 ,,
El Cajon city,"2,016 ","103,769 ",36 ,"31,503 ","5,915 ",30 ,6 ,"57,956 ","5,272 ",56 ,5 ,"5,627 ","1,822 ",5 ,2 ,361 ,295 ,0 ,0 ,"2,519 ","1,071 ",2 ,1 ,130 ,216 ,0 ,0 ,"45,577 ","5,341 ","62,420 ","5,452 ","55,436 ","7,723 ","68,969 ","6,704 ","20,852 ","2,099 ",27 ,5 ,,
